iter	Logloss
0	0.6787889031
1	0.6664013255
2	0.6539555815
3	0.6425252244
4	0.6303661565
5	0.6198391176
6	0.6100482297
7	0.6011225877
8	0.5918306941
9	0.5826086076
10	0.5743112269
11	0.566673969
12	0.5599496035
13	0.5532396819
14	0.5467618835
15	0.5406413102
16	0.5347961581
17	0.5303200464
18	0.5253744866
19	0.5202717679
20	0.5150598739
21	0.5099285142
22	0.5056864079
23	0.501696606
24	0.4979052289
25	0.4944738792
26	0.4908869564
27	0.4878080456
28	0.4852040097
29	0.4823489524
30	0.4796276765
31	0.4768430211
32	0.4741624249
33	0.4717660223
34	0.4687930257
35	0.4665010769
36	0.4639464104
37	0.4619725836
38	0.4595864528
39	0.457814021
40	0.4559708857
41	0.4527174221
42	0.4508568337
43	0.4491702833
44	0.447544315
45	0.4460071212
46	0.4443538811
47	0.4428357143
48	0.4414991679
49	0.4398822964
50	0.4375550067
51	0.4362015391
52	0.433866586
53	0.4326426025
54	0.4315043557
55	0.4304879394
56	0.429372607
57	0.4273669234
58	0.4263871634
59	0.4249921709
60	0.4235345977
61	0.4216828285
62	0.4207249025
63	0.4193653482
64	0.4184794126
65	0.4174493987
66	0.4166142237
67	0.4158490996
68	0.4147371832
69	0.4133620903
70	0.4125537937
71	0.4118350502
72	0.4112256
73	0.4103358853
74	0.4096060621
75	0.4084350457
76	0.4072415263
77	0.4065776117
78	0.4060604598
79	0.4054979526
80	0.4045028516
81	0.403880856
82	0.40317327
83	0.4025937769
84	0.401525915
85	0.4005208198
86	0.400003741
87	0.3995087653
88	0.3989766492
89	0.3985102237
90	0.398041676
91	0.3974241359
92	0.3968315862
93	0.3963918535
94	0.3958381736
95	0.3953278778
96	0.3948650876
97	0.3941335177
98	0.3928756408
99	0.3924512671
100	0.3916041815
101	0.3911360376
102	0.3906871693
103	0.3899610652
104	0.3891646199
105	0.3887727548
106	0.3883980671
107	0.3879624956
108	0.3875445601
109	0.3869086311
110	0.3865471857
111	0.386134578
112	0.3858171526
113	0.3853921123
114	0.3849641935
115	0.3841698627
116	0.3834733065
117	0.3831709724
118	0.3827703979
119	0.3824662729
120	0.3821457856
121	0.3817437239
122	0.3808711842
123	0.380580197
124	0.3802628765
125	0.3794301755
126	0.3791322338
127	0.3788661672
128	0.3782967142
129	0.3780400167
130	0.3777723541
131	0.3770081026
132	0.3766765709
133	0.3763933825
134	0.376053987
135	0.3756867482
136	0.3754707647
137	0.3752507402
138	0.374947373
139	0.3746987557
140	0.3738173929
141	0.3735654583
142	0.3733206213
143	0.3729937428
