iter	Passed	Remaining
0	2	2477
1	4	2123
2	6	2100
3	8	2000
4	9	1931
5	11	1955
6	13	1911
7	15	1874
8	16	1862
9	18	1873
10	20	1854
11	22	1833
12	24	1836
13	26	1843
14	27	1835
15	29	1828
16	32	1886
17	34	1876
18	36	1876
19	38	1882
20	40	1883
21	42	1876
22	44	1876
23	46	1884
24	48	1878
25	50	1877
26	52	1908
27	54	1908
28	57	1909
29	59	1920
30	61	1919
31	63	1918
32	65	1924
33	67	1921
34	70	1931
35	72	1935
36	74	1930
37	75	1923
38	78	1923
39	80	1920
40	82	1932
41	87	1984
42	92	2061
43	97	2128
44	105	2238
45	111	2304
46	113	2309
47	126	2515
48	128	2502
49	131	2493
50	133	2479
51	135	2462
52	136	2444
53	138	2433
54	140	2416
55	142	2398
56	143	2380
57	145	2368
58	147	2353
59	149	2337
60	150	2322
61	152	2310
62	154	2297
63	156	2282
64	157	2271
65	159	2261
66	161	2249
67	163	2234
68	164	2225
69	166	2215
70	168	2203
71	170	2192
72	171	2183
73	173	2174
74	175	2163
75	177	2153
76	179	2147
77	180	2137
78	182	2127
79	184	2119
80	186	2111
81	187	2101
82	189	2093
83	191	2087
84	193	2080
85	194	2071
86	196	2062
87	198	2056
88	200	2048
89	201	2041
90	203	2033
91	205	2028
92	207	2022
93	209	2014
94	210	2007
95	212	2001
96	214	1993
97	215	1985
98	217	1977
99	219	1972
100	220	1965
101	222	1958
102	224	1952
103	226	1947
104	227	1941
105	229	1934
106	231	1929
107	233	1924
108	234	1918
109	236	1911
110	237	1905
111	239	1899
112	241	1893
113	242	1885
114	244	1881
115	246	1879
116	248	1875
117	250	1868
118	251	1865
119	253	1862
120	255	1856
121	257	1852
122	259	1849
123	261	1844
124	262	1838
125	264	1834
126	266	1830
127	267	1824
128	269	1817
129	270	1813
130	272	1809
131	274	1803
132	275	1797
133	277	1793
134	279	1790
135	281	1786
136	282	1781
137	284	1777
138	286	1774
139	288	1769
140	289	1765
141	291	1762
142	293	1758
143	295	1753
144	296	1749
145	298	1746
146	300	1742
147	301	1738
148	303	1734
149	305	1730
150	307	1726
151	308	1722
152	310	1718
153	312	1715
154	313	1711
155	315	1707
156	317	1703
157	318	1699
158	320	1696
159	322	1692
160	324	1688
161	325	1685
162	327	1681
163	329	1677
164	330	1674
165	332	1671
166	334	1667
167	335	1663
168	337	1660
169	339	1657
170	341	1654
171	343	1651
172	344	1649
173	346	1645
174	348	1642
175	350	1638
176	352	1638
177	354	1635
178	355	1631
179	357	1628
180	359	1625
181	360	1622
182	362	1618
183	364	1616
184	366	1613
185	367	1609
186	369	1606
187	371	1604
188	373	1601
189	374	1598
190	376	1595
191	378	1592
192	380	1589
193	381	1586
194	383	1583
195	385	1580
196	386	1577
197	388	1573
198	390	1570
199	392	1568
200	393	1565
201	395	1561
202	397	1559
203	399	1557
204	400	1554
205	402	1551
206	404	1548
207	405	1545
208	407	1542
209	409	1539
210	411	1537
211	412	1534
212	414	1531
213	416	1528
214	418	1526
215	419	1523
216	421	1520
217	422	1517
218	424	1515
219	426	1512
220	428	1509
221	429	1506
222	431	1503
223	433	1500
224	434	1498
225	436	1495
226	438	1493
227	440	1492
228	442	1489
229	444	1486
230	445	1484
231	447	1481
232	449	1478
233	451	1477
234	453	1474
235	454	1471
236	456	1469
237	458	1466
238	459	1464
239	461	1461
240	463	1458
241	465	1457
242	467	1454
243	468	1451
